qid,model,protocol,repeat,model_prob,elicited_at,cache_hit,parse_error,outcome,crowd_prob_at_T,resolved_at,is_post_cutoff,close_before_cutoff_haiku,close_before_cutoff_jan2026,close_before_T
manifold_0FTgooCYZre9ozKjv97W,claude-opus-4-8,v2,0,0.85,2026-07-16T21:06:06.003443+00:00,0,0,1,0.8574517429375063,2026-01-02T02:21:01.891000+00:00,0,0,1,0
manifold_0FTgooCYZre9ozKjv97W,claude-sonnet-5,v2,0,0.62,2026-07-16T15:59:25.499168+00:00,0,0,1,0.8574517429375063,2026-01-02T02:21:01.891000+00:00,0,0,1,0
manifold_0GcJWlI4OqunBwhEk6Mw,claude-haiku-4-5-20251001,v2,0,0.72,2026-07-16T15:55:06.211929+00:00,0,0,1,0.6876726774167634,2023-03-14T17:27:31.431000+00:00,0,1,1,0
manifold_0GcJWlI4OqunBwhEk6Mw,claude-opus-4-8,v2,0,0.8,2026-07-16T21:06:06.003443+00:00,0,0,1,0.6876726774167634,2023-03-14T17:27:31.431000+00:00,0,1,1,0
manifold_0GcJWlI4OqunBwhEk6Mw,claude-sonnet-5,v2,0,0.9,2026-07-16T15:59:25.499168+00:00,0,0,1,0.6876726774167634,2023-03-14T17:27:31.431000+00:00,0,1,1,0
manifold_0I0JK1Ei1S1V28mCoeDM,claude-haiku-4-5-20251001,v2,0,0.72,2026-07-16T15:55:06.211929+00:00,0,0,1,0.9900000000000001,2025-08-17T05:27:47.250000+00:00,0,0,1,0
manifold_0I0JK1Ei1S1V28mCoeDM,claude-opus-4-8,v2,0,0.99,2026-07-16T21:06:06.003443+00:00,0,0,1,0.9900000000000001,2025-08-17T05:27:47.250000+00:00,0,0,1,0
manifold_0I0JK1Ei1S1V28mCoeDM,claude-sonnet-5,v2,0,0.98,2026-07-16T15:59:25.499168+00:00,0,0,1,0.9900000000000001,2025-08-17T05:27:47.250000+00:00,0,0,1,0
manifold_0NE8dgOOhN,claude-haiku-4-5-20251001,v2,0,0.08,2026-07-16T15:55:06.211929+00:00,0,0,0,0.0871791532025636,2026-01-01T05:30:01.590000+00:00,1,0,1,0
manifold_0NE8dgOOhN,claude-opus-4-8,v2,0,0.15,2026-07-16T21:06:06.003443+00:00,0,0,0,0.0871791532025636,2026-01-01T05:30:01.590000+00:00,0,0,1,0
manifold_0NE8dgOOhN,claude-sonnet-5,v2,0,0.12,2026-07-16T15:59:25.499168+00:00,0,0,0,0.0871791532025636,2026-01-01T05:30:01.590000+00:00,0,0,1,0
manifold_0ODVlhiUzgdgx1l4KEfI,claude-haiku-4-5-20251001,v2,0,0.04,2026-07-16T15:55:06.211929+00:00,0,0,0,0.0683220235218117,2024-09-01T20:48:53.963000+00:00,0,1,1,0
manifold_0ODVlhiUzgdgx1l4KEfI,claude-opus-4-8,v2,0,0.05,2026-07-16T21:06:06.003443+00:00,0,0,0,0.0683220235218117,2024-09-01T20:48:53.963000+00:00,0,1,1,0
manifold_0ODVlhiUzgdgx1l4KEfI,claude-sonnet-5,v2,0,0.04,2026-07-16T15:59:25.499168+00:00,0,0,0,0.0683220235218117,2024-09-01T20:48:53.963000+00:00,0,1,1,0
manifold_0P2UN2gAuZ,claude-haiku-4-5-20251001,v2,0,0.08,2026-07-16T15:55:06.211929+00:00,0,0,0,0.025053370574689322,2025-09-26T19:28:48.393000+00:00,1,0,1,0
manifold_0P2UN2gAuZ,claude-opus-4-8,v2,0,0.04,2026-07-16T21:06:06.003443+00:00,0,0,0,0.025053370574689322,2025-09-26T19:28:48.393000+00:00,0,0,1,0
manifold_0P2UN2gAuZ,claude-sonnet-5,v2,0,0.02,2026-07-16T15:59:25.499168+00:00,0,0,0,0.025053370574689322,2025-09-26T19:28:48.393000+00:00,0,0,1,0
manifold_0VE07UFqH3fwB6ihshYy,claude-haiku-4-5-20251001,v2,0,0.15,2026-07-16T15:55:06.211929+00:00,0,0,0,0.1672764234314924,2024-01-02T16:48:23.453000+00:00,0,1,1,0
manifold_0VE07UFqH3fwB6ihshYy,claude-opus-4-8,v2,0,0.08,2026-07-16T21:06:06.003443+00:00,0,0,0,0.1672764234314924,2024-01-02T16:48:23.453000+00:00,0,1,1,0
manifold_0VE07UFqH3fwB6ihshYy,claude-sonnet-5,v2,0,0.05,2026-07-16T15:59:25.499168+00:00,0,0,0,0.1672764234314924,2024-01-02T16:48:23.453000+00:00,0,1,1,0
manifold_0WGrYWITYJXJRTORoHce,claude-haiku-4-5-20251001,v2,0,0.72,2026-07-16T15:55:06.211929+00:00,0,0,0,0.22887147174221956,2025-01-03T07:59:48.895000+00:00,0,1,1,0
manifold_0WGrYWITYJXJRTORoHce,claude-opus-4-8,v2,0,0.35,2026-07-16T21:06:06.003443+00:00,0,0,0,0.22887147174221956,2025-01-03T07:59:48.895000+00:00,0,1,1,0
manifold_0WGrYWITYJXJRTORoHce,claude-sonnet-5,v2,0,0.12,2026-07-16T15:59:25.499168+00:00,0,0,0,0.22887147174221956,2025-01-03T07:59:48.895000+00:00,0,1,1,0
manifold_0Z8PS528lc,claude-haiku-4-5-20251001,v2,0,0.02,2026-07-16T15:55:06.211929+00:00,0,0,0,0.012985834414187289,2025-09-28T00:21:10.894000+00:00,1,0,1,0
manifold_0Z8PS528lc,claude-opus-4-8,v2,0,0.01,2026-07-16T21:06:06.003443+00:00,0,0,0,0.012985834414187289,2025-09-28T00:21:10.894000+00:00,0,0,1,0
manifold_0Z8PS528lc,claude-sonnet-5,v2,0,0.02,2026-07-16T15:59:25.499168+00:00,0,0,0,0.012985834414187289,2025-09-28T00:21:10.894000+00:00,0,0,1,0
manifold_0Z8PS528lc,claude-sonnet-5,v2,1,0.02,2026-07-16T21:08:43.220564+00:00,0,0,0,0.012985834414187289,2025-09-28T00:21:10.894000+00:00,0,0,1,0
manifold_0Z8PS528lc,claude-sonnet-5,v2,2,0.02,2026-07-16T21:10:52.506595+00:00,0,0,0,0.012985834414187289,2025-09-28T00:21:10.894000+00:00,0,0,1,0
manifold_0Zpt9zy06C,claude-haiku-4-5-20251001,v2,0,0.15,2026-07-16T15:55:06.211929+00:00,0,0,0,0.16125208531781135,2025-11-15T23:49:35.830000+00:00,1,0,1,0
manifold_0Zpt9zy06C,claude-opus-4-8,v2,0,0.25,2026-07-16T21:06:06.003443+00:00,0,0,0,0.16125208531781135,2025-11-15T23:49:35.830000+00:00,0,0,1,0
manifold_0Zpt9zy06C,claude-sonnet-5,v2,0,0.12,2026-07-16T15:59:25.499168+00:00,0,0,0,0.16125208531781135,2025-11-15T23:49:35.830000+00:00,0,0,1,0
manifold_0aoeJgwTsdA3ub166M1j,claude-haiku-4-5-20251001,v2,0,0.72,2026-07-16T15:55:06.211929+00:00,0,0,1,0.9828192566971999,2026-01-01T20:14:46.237000+00:00,1,0,1,0
manifold_0aoeJgwTsdA3ub166M1j,claude-opus-4-8,v2,0,0.98,2026-07-16T21:06:06.003443+00:00,0,0,1,0.9828192566971999,2026-01-01T20:14:46.237000+00:00,0,0,1,0
manifold_0aoeJgwTsdA3ub166M1j,claude-sonnet-5,v2,0,0.97,2026-07-16T15:59:25.499168+00:00,0,0,1,0.9828192566971999,2026-01-01T20:14:46.237000+00:00,0,0,1,0
manifold_0ba0xERpEqlXNJqvOlM7,claude-haiku-4-5-20251001,v2,0,0.42,2026-07-16T15:55:06.211929+00:00,0,0,1,0.9240768836434737,2025-08-08T01:43:58.604000+00:00,0,0,1,0
manifold_0ba0xERpEqlXNJqvOlM7,claude-opus-4-8,v2,0,0.9,2026-07-16T21:06:06.003443+00:00,0,0,1,0.9240768836434737,2025-08-08T01:43:58.604000+00:00,0,0,1,0
manifold_0ba0xERpEqlXNJqvOlM7,claude-sonnet-5,v2,0,0.78,2026-07-16T15:59:25.499168+00:00,0,0,1,0.9240768836434737,2025-08-08T01:43:58.604000+00:00,0,0,1,0
manifold_0clyYGHg9OYsTUnJPsJS,claude-haiku-4-5-20251001,v2,0,0.08,2026-07-16T15:55:06.211929+00:00,0,0,0,0.017163141295971716,2023-12-30T21:36:39.716000+00:00,0,1,1,0
manifold_0clyYGHg9OYsTUnJPsJS,claude-opus-4-8,v2,0,0.08,2026-07-16T21:06:06.003443+00:00,0,0,0,0.017163141295971716,2023-12-30T21:36:39.716000+00:00,0,1,1,0
manifold_0clyYGHg9OYsTUnJPsJS,claude-sonnet-5,v2,0,0.65,2026-07-16T15:59:25.499168+00:00,0,0,0,0.017163141295971716,2023-12-30T21:36:39.716000+00:00,0,1,1,0
manifold_0gi5i8utq4,claude-haiku-4-5-20251001,v2,0,0.28,2026-07-16T15:55:06.211929+00:00,0,0,0,0.19927636008566402,2026-01-02T19:53:22.216000+00:00,1,0,1,0
manifold_0gi5i8utq4,claude-opus-4-8,v2,0,0.25,2026-07-16T21:06:06.003443+00:00,0,0,0,0.19927636008566402,2026-01-02T19:53:22.216000+00:00,0,0,1,0
manifold_0gi5i8utq4,claude-sonnet-5,v2,0,0.35,2026-07-16T15:59:25.499168+00:00,0,0,0,0.19927636008566402,2026-01-02T19:53:22.216000+00:00,0,0,1,0
manifold_0gu8OQ2qZA,claude-haiku-4-5-20251001,v2,0,0.62,2026-07-16T15:55:06.211929+00:00,0,0,1,0.9775965284084732,2026-06-09T22:22:24.920000+00:00,1,0,0,0
manifold_0gu8OQ2qZA,claude-opus-4-8,v2,0,0.42,2026-07-16T21:06:06.003443+00:00,0,0,1,0.9775965284084732,2026-06-09T22:22:24.920000+00:00,1,0,0,0
manifold_0gu8OQ2qZA,claude-sonnet-5,v2,0,0.62,2026-07-16T15:59:25.499168+00:00,0,0,1,0.9775965284084732,2026-06-09T22:22:24.920000+00:00,1,0,0,0
manifold_0h8NstRRA0,claude-haiku-4-5-20251001,v2,0,0.08,2026-07-16T15:55:06.211929+00:00,0,0,0,0.08480757442160404,2026-04-03T07:15:16.349000+00:00,1,0,0,0
manifold_0h8NstRRA0,claude-opus-4-8,v2,0,0.08,2026-07-16T21:06:06.003443+00:00,0,0,0,0.08480757442160404,2026-04-03T07:15:16.349000+00:00,1,0,0,0
manifold_0h8NstRRA0,claude-sonnet-5,v2,0,0.12,2026-07-16T15:59:25.499168+00:00,0,0,0,0.08480757442160404,2026-04-03T07:15:16.349000+00:00,1,0,0,0
manifold_0hgn8NcO00,claude-haiku-4-5-20251001,v2,0,0.12,2026-07-16T15:55:06.211929+00:00,0,0,1,0.9356318190944514,2025-08-18T21:29:15.435000+00:00,0,0,1,0
manifold_0hgn8NcO00,claude-opus-4-8,v2,0,0.82,2026-07-16T21:06:06.003443+00:00,0,0,1,0.9356318190944514,2025-08-18T21:29:15.435000+00:00,0,0,1,0
manifold_0hgn8NcO00,claude-sonnet-5,v2,0,0.88,2026-07-16T15:59:25.499168+00:00,0,0,1,0.9356318190944514,2025-08-18T21:29:15.435000+00:00,0,0,1,0
manifold_0lBfmjGwGw2vt8ubfMeY,claude-haiku-4-5-20251001,v2,0,0.28,2026-07-16T15:55:06.211929+00:00,0,0,1,0.45,2025-05-18T14:23:35.188000+00:00,0,1,1,0
manifold_0lBfmjGwGw2vt8ubfMeY,claude-opus-4-8,v2,0,0.55,2026-07-16T21:06:06.003443+00:00,0,0,1,0.45,2025-05-18T14:23:35.188000+00:00,0,1,1,0
manifold_0lBfmjGwGw2vt8ubfMeY,claude-sonnet-5,v2,0,0.25,2026-07-16T15:59:25.499168+00:00,0,0,1,0.45,2025-05-18T14:23:35.188000+00:00,0,1,1,0
manifold_0lI92us6I9,claude-haiku-4-5-20251001,v2,0,0.72,2026-07-16T15:55:06.211929+00:00,0,0,0,0.083264450424768,2026-01-02T08:51:07.970000+00:00,1,0,1,0
manifold_0lI92us6I9,claude-opus-4-8,v2,0,0.05,2026-07-16T21:06:06.003443+00:00,0,0,0,0.083264450424768,2026-01-02T08:51:07.970000+00:00,0,0,1,0
manifold_0lI92us6I9,claude-sonnet-5,v2,0,0.05,2026-07-16T15:59:25.499168+00:00,0,0,0,0.083264450424768,2026-01-02T08:51:07.970000+00:00,0,0,1,0
manifold_0laUuKVrX6SswNGoeaOg,claude-haiku-4-5-20251001,v2,0,0.92,2026-07-16T15:55:06.211929+00:00,0,0,0,0.08019002563668826,2025-11-06T18:49:20.241000+00:00,1,0,1,0
manifold_0laUuKVrX6SswNGoeaOg,claude-opus-4-8,v2,0,0.2,2026-07-16T21:06:06.003443+00:00,0,0,0,0.08019002563668826,2025-11-06T18:49:20.241000+00:00,0,0,1,0
manifold_0laUuKVrX6SswNGoeaOg,claude-sonnet-5,v2,0,0.12,2026-07-16T15:59:25.499168+00:00,0,0,0,0.08019002563668826,2025-11-06T18:49:20.241000+00:00,0,0,1,0
manifold_0mwxGo0uqZlsg5er3RVi,claude-haiku-4-5-20251001,v2,0,0.28,2026-07-16T15:55:06.211929+00:00,0,0,0,0.08049072228549375,2024-12-31T21:48:19.806000+00:00,0,1,1,0
manifold_0mwxGo0uqZlsg5er3RVi,claude-opus-4-8,v2,0,0.9,2026-07-16T21:06:06.003443+00:00,0,0,0,0.08049072228549375,2024-12-31T21:48:19.806000+00:00,0,1,1,0
manifold_0mwxGo0uqZlsg5er3RVi,claude-sonnet-5,v2,0,0.75,2026-07-16T15:59:25.499168+00:00,0,0,0,0.08049072228549375,2024-12-31T21:48:19.806000+00:00,0,1,1,0
manifold_0p7n0v7839,claude-haiku-4-5-20251001,v2,0,0.12,2026-07-16T15:55:06.211929+00:00,0,0,0,0.29784148684726497,2024-10-31T15:18:41.741000+00:00,0,1,1,0
manifold_0p7n0v7839,claude-opus-4-8,v2,0,0.05,2026-07-16T21:06:06.003443+00:00,0,0,0,0.29784148684726497,2024-10-31T15:18:41.741000+00:00,0,1,1,0
manifold_0p7n0v7839,claude-sonnet-5,v2,0,0.08,2026-07-16T15:59:25.499168+00:00,0,0,0,0.29784148684726497,2024-10-31T15:18:41.741000+00:00,0,1,1,0
manifold_0ppyxJ35HqPUk07uHlJi,claude-haiku-4-5-20251001,v2,0,0.12,2026-07-16T15:55:06.211929+00:00,0,0,0,0.9391674630901211,2025-03-27T13:37:14.308000+00:00,0,1,1,1
manifold_0ppyxJ35HqPUk07uHlJi,claude-opus-4-8,v2,0,0.35,2026-07-16T21:06:06.003443+00:00,0,0,0,0.9391674630901211,2025-03-27T13:37:14.308000+00:00,0,1,1,1
manifold_0ppyxJ35HqPUk07uHlJi,claude-sonnet-5,v2,0,0.28,2026-07-16T15:59:25.499168+00:00,0,0,0,0.9391674630901211,2025-03-27T13:37:14.308000+00:00,0,1,1,1
manifold_0q09Iq6Ptc,claude-haiku-4-5-20251001,v2,0,0.72,2026-07-16T15:55:06.211929+00:00,0,0,0,0.08181575954555952,2026-01-04T12:38:26.432000+00:00,1,0,1,0
manifold_0q09Iq6Ptc,claude-opus-4-8,v2,0,0.3,2026-07-16T21:06:06.003443+00:00,0,0,0,0.08181575954555952,2026-01-04T12:38:26.432000+00:00,0,0,1,0
manifold_0q09Iq6Ptc,claude-sonnet-5,v2,0,0.12,2026-07-16T15:59:25.499168+00:00,0,0,0,0.08181575954555952,2026-01-04T12:38:26.432000+00:00,0,0,1,0
manifold_0qoim8aj3u,claude-haiku-4-5-20251001,v2,0,0.38,2026-07-16T15:55:06.211929+00:00,0,0,0,0.29028032048648617,2025-01-01T17:22:48.696000+00:00,0,1,1,0
manifold_0qoim8aj3u,claude-opus-4-8,v2,0,0.15,2026-07-16T21:06:06.003443+00:00,0,0,0,0.29028032048648617,2025-01-01T17:22:48.696000+00:00,0,1,1,0
manifold_0qoim8aj3u,claude-sonnet-5,v2,0,0.35,2026-07-16T15:59:25.499168+00:00,0,0,0,0.29028032048648617,2025-01-01T17:22:48.696000+00:00,0,1,1,0
manifold_0qoim8aj3u,claude-sonnet-5,v2,1,0.35,2026-07-16T21:08:43.220564+00:00,0,0,0,0.29028032048648617,2025-01-01T17:22:48.696000+00:00,0,1,1,0
manifold_0qoim8aj3u,claude-sonnet-5,v2,2,0.25,2026-07-16T21:10:52.506595+00:00,0,0,0,0.29028032048648617,2025-01-01T17:22:48.696000+00:00,0,1,1,0
manifold_0vfCTCfht3mB2XgEsrxz,claude-haiku-4-5-20251001,v2,0,0.98,2026-07-16T12:26:22.473635+00:00,1,0,1,0.8486193597792029,2026-05-19T14:18:57.958000+00:00,1,0,1,1
manifold_0vfCTCfht3mB2XgEsrxz,claude-opus-4-8,v2,0,0.97,2026-07-16T12:35:37.697167+00:00,1,0,1,0.8486193597792029,2026-05-19T14:18:57.958000+00:00,1,0,1,1
manifold_0vfCTCfht3mB2XgEsrxz,claude-sonnet-5,v2,0,0.97,2026-07-16T12:30:47.157949+00:00,1,0,1,0.8486193597792029,2026-05-19T14:18:57.958000+00:00,1,0,1,1
manifold_0wwlx65gCUpK1eLdNgM3,claude-haiku-4-5-20251001,v2,0,0.25,2026-07-16T15:55:06.211929+00:00,0,0,0,0.4899999999999999,2024-01-01T15:20:02.241000+00:00,0,1,1,0
manifold_0wwlx65gCUpK1eLdNgM3,claude-opus-4-8,v2,0,0.03,2026-07-16T21:06:06.003443+00:00,0,0,0,0.4899999999999999,2024-01-01T15:20:02.241000+00:00,0,1,1,0
manifold_0wwlx65gCUpK1eLdNgM3,claude-sonnet-5,v2,0,0.04,2026-07-16T15:59:25.499168+00:00,0,0,0,0.4899999999999999,2024-01-01T15:20:02.241000+00:00,0,1,1,0
manifold_10cbDvnS0Tbzn858SntH,claude-haiku-4-5-20251001,v2,0,0.18,2026-07-16T15:55:06.211929+00:00,0,0,0,0.03786013621305241,2024-04-16T00:24:09.889000+00:00,0,1,1,0
manifold_10cbDvnS0Tbzn858SntH,claude-opus-4-8,v2,0,0.05,2026-07-16T21:06:06.003443+00:00,0,0,0,0.03786013621305241,2024-04-16T00:24:09.889000+00:00,0,1,1,0
manifold_10cbDvnS0Tbzn858SntH,claude-sonnet-5,v2,0,0.03,2026-07-16T15:59:25.499168+00:00,0,0,0,0.03786013621305241,2024-04-16T00:24:09.889000+00:00,0,1,1,0
manifold_18qj7EvFwvCpECRNrOLQ,claude-haiku-4-5-20251001,v2,0,0.08,2026-07-16T15:55:06.211929+00:00,0,0,0,0.012027274900054126,2026-01-15T02:40:02.298000+00:00,1,0,1,0
manifold_18qj7EvFwvCpECRNrOLQ,claude-opus-4-8,v2,0,0.02,2026-07-16T21:06:06.003443+00:00,0,0,0,0.012027274900054126,2026-01-15T02:40:02.298000+00:00,0,0,1,0
manifold_18qj7EvFwvCpECRNrOLQ,claude-sonnet-5,v2,0,0.03,2026-07-16T15:59:25.499168+00:00,0,0,0,0.012027274900054126,2026-01-15T02:40:02.298000+00:00,0,0,1,0
manifold_1BrDgCHeXVHWQZMBGsLR,claude-haiku-4-5-20251001,v2,0,0.68,2026-07-16T15:55:06.211929+00:00,0,0,0,0.07532140532128737,2024-12-31T13:59:36.756000+00:00,0,1,1,0
manifold_1BrDgCHeXVHWQZMBGsLR,claude-opus-4-8,v2,0,0.08,2026-07-16T21:06:06.003443+00:00,0,0,0,0.07532140532128737,2024-12-31T13:59:36.756000+00:00,0,1,1,0
manifold_1BrDgCHeXVHWQZMBGsLR,claude-sonnet-5,v2,0,0.15,2026-07-16T15:59:25.499168+00:00,0,0,0,0.07532140532128737,2024-12-31T13:59:36.756000+00:00,0,1,1,0
manifold_1CCzU4eWXSX0dBZWCXrX,claude-haiku-4-5-20251001,v2,0,0.72,2026-07-16T15:55:06.211929+00:00,0,0,0,0.08577874789369962,2025-03-31T06:03:31.564000+00:00,0,1,1,1
manifold_1CCzU4eWXSX0dBZWCXrX,claude-opus-4-8,v2,0,0.05,2026-07-16T21:06:06.003443+00:00,0,0,0,0.08577874789369962,2025-03-31T06:03:31.564000+00:00,0,1,1,1
manifold_1CCzU4eWXSX0dBZWCXrX,claude-sonnet-5,v2,0,0.08,2026-07-16T15:59:25.499168+00:00,0,0,0,0.08577874789369962,2025-03-31T06:03:31.564000+00:00,0,1,1,1
manifold_1MyciPQI6nNPmf4ZJR3C,claude-haiku-4-5-20251001,v2,0,0.08,2026-07-16T15:55:06.211929+00:00,0,0,0,0.08718838464046423,2024-01-01T15:27:42.798000+00:00,0,1,1,0
manifold_1MyciPQI6nNPmf4ZJR3C,claude-opus-4-8,v2,0,0.05,2026-07-16T21:06:06.003443+00:00,0,0,0,0.08718838464046423,2024-01-01T15:27:42.798000+00:00,0,1,1,0
manifold_1MyciPQI6nNPmf4ZJR3C,claude-sonnet-5,v2,0,0.03,2026-07-16T15:59:25.499168+00:00,0,0,0,0.08718838464046423,2024-01-01T15:27:42.798000+00:00,0,1,1,0
manifold_1REExqJvuZIOBcXn67PW,claude-haiku-4-5-20251001,v2,0,0.35,2026-07-16T15:55:06.211929+00:00,0,0,1,0.8366533425574899,2025-08-01T18:07:56.194000+00:00,0,1,1,1
manifold_1REExqJvuZIOBcXn67PW,claude-opus-4-8,v2,0,0.35,2026-07-16T21:06:06.003443+00:00,0,0,1,0.8366533425574899,2025-08-01T18:07:56.194000+00:00,0,1,1,1
manifold_1REExqJvuZIOBcXn67PW,claude-sonnet-5,v2,0,0.35,2026-07-16T15:59:25.499168+00:00,0,0,1,0.8366533425574899,2025-08-01T18:07:56.194000+00:00,0,1,1,1
manifold_1cfL5vOs8kKyexBtXjzR,claude-haiku-4-5-20251001,v2,0,0.28,2026-07-16T15:55:06.211929+00:00,0,0,0,0.1633180699405393,2024-02-01T13:52:44.291000+00:00,0,1,1,1
manifold_1cfL5vOs8kKyexBtXjzR,claude-opus-4-8,v2,0,0.75,2026-07-16T21:06:06.003443+00:00,0,0,0,0.1633180699405393,2024-02-01T13:52:44.291000+00:00,0,1,1,1
manifold_1cfL5vOs8kKyexBtXjzR,claude-sonnet-5,v2,0,0.97,2026-07-16T15:59:25.499168+00:00,0,0,0,0.1633180699405393,2024-02-01T13:52:44.291000+00:00,0,1,1,1
manifold_1m3k52kalk,claude-haiku-4-5-20251001,v2,0,0.28,2026-07-16T15:55:06.211929+00:00,0,0,0,0.3931282957078684,2024-10-01T08:34:42.369000+00:00,0,1,1,0
manifold_1m3k52kalk,claude-opus-4-8,v2,0,0.05,2026-07-16T21:06:06.003443+00:00,0,0,0,0.3931282957078684,2024-10-01T08:34:42.369000+00:00,0,1,1,0
manifold_1m3k52kalk,claude-sonnet-5,v2,0,0.04,2026-07-16T15:59:25.499168+00:00,0,0,0,0.3931282957078684,2024-10-01T08:34:42.369000+00:00,0,1,1,0
manifold_1n3pnqlcui,claude-haiku-4-5-20251001,v2,0,0.08,2026-07-16T15:55:06.211929+00:00,0,0,0,0.04570615612685004,2026-01-01T07:43:52.725000+00:00,1,0,1,0
manifold_1n3pnqlcui,claude-opus-4-8,v2,0,0.95,2026-07-16T21:06:06.003443+00:00,0,0,0,0.04570615612685004,2026-01-01T07:43:52.725000+00:00,0,0,1,0
manifold_1n3pnqlcui,claude-sonnet-5,v2,0,0.85,2026-07-16T15:59:25.499168+00:00,0,0,0,0.04570615612685004,2026-01-01T07:43:52.725000+00:00,0,0,1,0
manifold_1pTTstNw0L5gSOvccDsN,claude-haiku-4-5-20251001,v2,0,0.04,2026-07-16T15:55:06.211929+00:00,0,0,0,0.05000000000000005,2025-01-01T08:51:11.565000+00:00,0,1,1,0
manifold_1pTTstNw0L5gSOvccDsN,claude-opus-4-8,v2,0,0.02,2026-07-16T21:06:06.003443+00:00,0,0,0,0.05000000000000005,2025-01-01T08:51:11.565000+00:00,0,1,1,0
manifold_1pTTstNw0L5gSOvccDsN,claude-sonnet-5,v2,0,0.02,2026-07-16T15:59:25.499168+00:00,0,0,0,0.05000000000000005,2025-01-01T08:51:11.565000+00:00,0,1,1,0
manifold_1pV5FwMekeX07jgEydYa,claude-haiku-4-5-20251001,v2,0,0.12,2026-07-16T15:55:06.211929+00:00,0,0,0,0.1891304794990256,2025-01-01T08:16:24.399000+00:00,0,1,1,0
manifold_1pV5FwMekeX07jgEydYa,claude-opus-4-8,v2,0,0.05,2026-07-16T21:06:06.003443+00:00,0,0,0,0.1891304794990256,2025-01-01T08:16:24.399000+00:00,0,1,1,0
manifold_1pV5FwMekeX07jgEydYa,claude-sonnet-5,v2,0,0.15,2026-07-16T15:59:25.499168+00:00,0,0,0,0.1891304794990256,2025-01-01T08:16:24.399000+00:00,0,1,1,0
manifold_1rfedvVVdyStrUAiK5Yl,claude-haiku-4-5-20251001,v2,0,0.15,2026-07-16T15:55:06.211929+00:00,0,0,1,0.13889072072816938,2023-02-09T05:42:06.261000+00:00,0,1,1,0
manifold_1rfedvVVdyStrUAiK5Yl,claude-opus-4-8,v2,0,0.08,2026-07-16T21:06:06.003443+00:00,0,0,1,0.13889072072816938,2023-02-09T05:42:06.261000+00:00,0,1,1,0
manifold_1rfedvVVdyStrUAiK5Yl,claude-sonnet-5,v2,0,0.12,2026-07-16T15:59:25.499168+00:00,0,0,1,0.13889072072816938,2023-02-09T05:42:06.261000+00:00,0,1,1,0
manifold_1ruJdEypcfWfFclIBlzl,claude-haiku-4-5-20251001,v2,0,0.62,2026-07-16T15:55:06.211929+00:00,0,0,0,0.15551833343849822,2024-01-10T15:22:31.992000+00:00,0,1,1,0
manifold_1ruJdEypcfWfFclIBlzl,claude-opus-4-8,v2,0,0.3,2026-07-16T21:06:06.003443+00:00,0,0,0,0.15551833343849822,2024-01-10T15:22:31.992000+00:00,0,1,1,0
manifold_1ruJdEypcfWfFclIBlzl,claude-sonnet-5,v2,0,0.55,2026-07-16T15:59:25.499168+00:00,0,0,0,0.15551833343849822,2024-01-10T15:22:31.992000+00:00,0,1,1,0
